date,widget_basic_sales,widget_killdozer_sales,widget_master_sales,total_sales
2016-01-31,16060.112655154733,14945.609092362472,14715.579418476638,45721.30116599384
2016-02-29,15436.012756468814,14535.204899181017,17299.41848616037,47270.6361418102
2016-03-31,16093.304685219104,16182.380358997718,14731.454167965334,47007.139212182155
2016-04-30,16338.670949782781,16442.920385989146,15916.26840183913,48697.859737611056
2016-05-31,17645.318096148676,17811.682742497243,16299.596379360997,51756.597218006915
2016-06-30,17583.090461362957,17685.893603426804,13783.935863694202,49052.91992848396
2016-07-31,19017.190906580363,17644.70756651606,12843.750261769474,49505.64873486589
2016-08-31,18564.457058535107,16270.648243269636,14416.252398236384,49251.357700041124
2016-09-30,18441.830892573347,15906.451921810292,12292.424129966277,46640.70694434991
2016-10-31,20571.071289526237,16666.87272423228,12251.503023559857,49489.44703731837
2016-11-30,18896.223869549023,16905.30818959593,12837.094637613758,48638.62669675871
2016-12-31,18717.50483608665,18070.092184509936,14871.133303687937,51658.73032428452
2017-01-31,21309.862157717664,16589.43193504091,14923.757506985528,52823.051599744096
2017-02-28,17482.597849762868,16159.178677951842,13733.4138567523,47375.19038446701
2017-03-31,20702.289146692405,19404.09003955497,15798.73673402099,55905.11592026836
2017-04-30,21830.78949796555,18641.056196241425,13378.678484879725,53850.5241790867
2017-05-31,21947.50602689468,18645.225420071103,12983.48700798943,53576.21845495521
2017-06-30,21406.809336357623,20006.729181682156,13911.902153102707,55325.44067114249
2017-07-31,24901.60011862201,19241.857387700635,11754.783958823264,55898.24146514591
2017-08-31,22626.653392474316,19500.105372435166,11650.231723232855,53776.990488142335
2017-09-30,23946.559414352527,18328.5616838307,11857.03315016963,54132.154248352854
2017-10-31,23372.732437075985,19059.95723539313,13095.018410737322,55527.70808320644
2017-11-30,24992.277412258,18426.3185460855,12973.120993051692,56391.71695139519
2017-12-31,27196.48330209637,18995.479024708126,14677.837741048104,60869.8000678526
2018-01-31,24498.922366012204,20220.100351939604,12392.849336829348,57111.87205478115
2018-02-28,23823.46175127929,17301.065637549313,13174.010446570897,54298.5378353995
2018-03-31,23894.034473639826,20882.286414068178,12047.729126069227,56824.05001377723
2018-04-30,24174.796564789092,20351.77041202669,13644.566729724698,58171.13370654048
2018-05-31,29409.926577488786,21461.04453731171,13689.300722292506,64560.271837093
2018-06-29,25539.938992541403,21838.80243830507,11865.53672421217,59244.278155058644
